What does Dick Cheney prefer?;O que Aécio Neves prefere?
And the Academy Award for ____ goes to ____ ;O Óscar de ____ vai para ___
What ended my last relationship?;O que fez meu último relacionamento acabar?
MTV's new reality show features eight washed-up celebrities living with ____ ;A nova temporada de A Fazenda apresenta 17 celebridades falidas convivendo com ___
I drink to forget ____;Eu bebo para esquecer ___
I'm sorry Professor, but I couldn't complete my homework because of ____;Desculpe, professor, não consegui terminar minha tarefa de casa por causa de___
What is Batman's guilty pleasure?;Qual o prazer secreto do Batman?
This is the way the worlds ends: Not with a bang, but with ____;É assim que o mundo acaba: não com uma explosão, mas com ___
I wish I hadn't lost the instruction manual for ____;Queria não ter perdido o manual de ____.
Instead of coal, Santa now gives the bad children ____.;Ao invés de carvão, agora o Papai Noel dá  ____ para crianças mal comportadas.
What's the most emo?;O que é o mais emo?
In 1000 years, when paper money is but a distant memory, ____ will be our currency.;Em 1000 anos, quando dinheiro impresso for uma memória distante, ____ vai ser a moeda de troca.
What's the next superhero/sidekick duo? ;Qual a próxima dupla de super-herói/ajudante? 
In M. Night Shyamalan's new movie, Bruce Willis discovers that ____ had really been ____ all along ;No novo episódio de Black Mirror, Wagner Moura descobre que ____ era, na verdade, ____ o tempo todo. 
Next from J.K. Rowling: Harry Potter and the Chamber of ____;O próximo livro de  J.K Rowling : Harry Potter e ____.
BILLY MAYS HERE FOR;A TOPTHERM TRAZ PRA VOCÊ O LEGÍTIMO ____.
A romantic candlelit dinner would be incomplete without ____;Um jantar romântico à luz de velas estaria incompleto sem ____.
_____. Betcha can't have just one!;____ . Aposto que você não consegue ficar sem repetir!
How am I maintaining my relationship status?;Como estou mantendo meu status de relacionamento?
____. It's a trap1;____. É uma cilada, Bino!
What will I bring back in time to convince people that I am a powerful wizard?;O que eu vou trazer do passado para provar que sou um feiticeiro poderoso?
The class field trip was completely ruined by ___;A viagem de campo foi arruinada por ___
When Pharaoh remained unmoved, Moses called down a Plague of ____;Quando o Faraó estava imóvel, Moisés chamou pela Praga de ___
What's my secret power?;Qual o meu poder secreto?
What's there a ton of in heaven?;O que tem em toneladas no paraíso?
What would grandma find disturbing, yet oddly charming?;O que a vovó acharia perturbador, porém estranhamente encantador?
I never truly understood ____ until I encountered ____ ;Eu nunca realmente entendi ____ até encontrar ____ 
What helps Obama unwind?;O que ajuda o Temer a relaxar?
What did Vin Diesel eat for dinner?;O que o Leo Stronda comeu no jantar?
____ : Good to the last drop;___ : Bom até a última gota.
Coming to Broadway this season,  ____: the musical.;Nos teatros mais próximos, ___: O musical.
While the United States raced the Soviet Union to the moon, the Mexican government funneled millions of pesos into research on ____;Enquanto os EUA e a URSS faziam a corrida espacial, o governo brasileiro gastou milhões de reais pesquisando ___
After Hurricane Katrina, Sean Penn brought ____ to the people of New Orleans;Após os desastres de Mariana, Claudia Raia comprou ____ para o povo mineiro.
Due to a PR fiasco, Walmart no longer offers ____;Depois de um fiasco no setor de relacoes publicas, o Carrefour nao oferta mais ___
In his new summer comedy, Rob Schneider is ____ trapped in the body of ____ ;Em sua nova comédia de verão, Renato Aragão é ____ preso no corpo de ____ 
Rumor has it that Vladimir Putin's favorite dish is ____ stuffed with ____ ;Os rumores dizem que o prato predileto de Dilma Rousseff é ____ cheio de ____ 
But before I kill you, Mr Bond, I must show you ____;Mas antes de matá-lo, Sr. Bond, preciso te mostrar ____ 
What gives me uncontrollable gas?;O que me dá gases incontroláveis?
What do old people smell like?;Como as pessoas idosas cheiram?
White people like ____;Gente branca gosta de  ____.
____. High five, bro.;____. Toca aqui, mano!
;Ninguém espera a revolução comunista, nossas principais armas são medo, surpresa e ____ 
;A TAM pede desculpas pelo atraso dos voos devido a ___
;A seguir, em Esporte Espetacular, o Campeonato Mundial de ___
;A vida dos povos indígenas no Brasil mudou para sempre quando o homem branco os introduziu a ____
;Hoje, na Sessão da Tarde: "___, a história de ____"
;Eu não acredito que ____ inventou ___
;A nova sensação do Funk é o Mc ___
;Beijinho no ombro pra ____ passar longe
;Após a Época do Café, o Brasil investiu na exportação de ___
;O segredo do milkshake do Bob's é ____
;Pô pessoal, sei que isso foi ideia minha mas estou tendo sérias dúvidas sobre ____
 ;Amiga, tenho que te contar essa tour. Aquela poc se envolveu com ____
